base_code,target_code,rate,time_last_update_utc,time_next_update_utc,time_next_update_unix,time_last_update_unix
USD,MUR,45.6976,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MVR,15.4602,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MWK,1743.6945,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MXN,19.1218,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MYR,4.255,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MZN,63.8332,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,NAD,18.0015,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,NGN,1546.3594,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,NIO,36.8072,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,NOK,10.0992,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,NPR,138.6888,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,NZD,1.674,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,OMR,0.3845,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,PAB,1.0,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,PEN,3.5961,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,PGK,4.1545,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,PHP,57.2346,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,PKR,283.517,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,PLN,3.7082,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,PYG,8019.3714,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,QAR,3.64,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,RON,4.3736,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,RSD,101.7736,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,RUB,78.4177,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,RWF,1446.518,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SAR,3.75,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SBD,8.5728,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SCR,14.9345,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SDG,509.345,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SEK,9.6682,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SGD,1.2864,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SHP,0.7427,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SLE,22.4663,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SLL,22466.2843,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SOS,571.6359,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SRD,38.9074,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SSP,4673.6428,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,STN,21.2694,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SYP,12893.3057,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,SZL,18.0015,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,THB,32.7792,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,TJS,9.8806,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,TMT,3.5003,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,TND,2.9267,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,TOP,2.3554,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
